VIDEO,OSATS_RESPECT,OSATS_MOTION,OSATS_INSTRUMENT,OSATS_SUTURE,OSATS_FLOW,OSATS_KNOWLEDGE,OSATS_PERFORMANCE,OSATSFINALQUALITY
J88T,3,3,2,3,3,4,3,1
I45Y,3,3,2,3,3,4,3,1
Q43O,3,3,2,3,3,4,3,1
K55R,3,3,2,3,3,4,3,1
H13A,3,3,2,3,3,4,3,1
D94Z,3,3,2,3,3,4,3,1
S76W,3,3,2,3,3,4,3,1
V15D,3,3,2,3,3,4,3,1
O61K,3,3,2,3,3,4,3,1
E86N,3,3,2,3,3,4,3,1
M11V,3,3,2,3,3,4,3,1
A83X,3,3,2,3,3,4,3,1
D17H,3,3,2,3,3,4,3,1
H87Y,3,3,2,3,3,4,3,1
S16X,3,3,2,3,3,4,3,1
H22T,3,3,2,3,3,4,3,1
D59F,3,3,2,3,3,4,3,1
F77P,3,3,2,3,3,4,3,1
Y65C,3,3,2,3,3,4,3,1
S42U,3,3,2,3,3,4,3,1
P05H,3,3,2,3,3,4,3,1
C18X,3,3,2,3,3,4,3,1
I70X,3,3,2,3,3,4,3,1
H33Z,3,3,2,3,3,4,3,1
T90M,3,3,2,3,3,4,3,1
J77I,3,3,2,3,3,4,3,1
V34K,3,3,2,3,3,4,3,1
O74E,3,3,2,3,3,4,3,1
S66A,3,3,2,3,3,4,3,1
R63B,3,3,2,3,3,4,3,1
R65M,3,3,2,3,3,4,3,1
A36O,3,3,2,3,3,4,3,1
U12G,3,3,2,3,3,4,3,1
B68G,3,3,2,3,3,4,3,1
X56N,3,3,2,3,3,4,3,1
O87J,3,3,2,3,3,4,3,1
K11Q,3,3,2,3,3,4,3,1
V23S,3,3,2,3,3,4,3,1
X99A,3,3,2,3,3,4,3,1
O94X,3,3,2,3,3,4,3,1
N93T,3,3,2,3,3,4,3,1
L88B,3,3,2,3,3,4,3,1
Q58C,3,3,2,3,3,4,3,1
E66F,3,3,2,3,3,4,3,1
V16A,3,3,2,3,3,4,3,1
Z49X,3,3,2,3,3,4,3,1
M66Y,3,3,2,3,3,4,3,1
B53D,3,3,2,3,3,4,3,1
G21B,3,3,2,3,3,4,3,1
A66S,3,3,2,3,3,4,3,1
K12K,3,3,2,3,3,4,3,1
X36T,3,3,2,3,3,4,3,1
T69O,3,3,2,3,3,4,3,1
W69R,3,3,2,3,3,4,3,1
Z28E,3,3,2,3,3,4,3,1
F66N,3,3,2,3,3,4,3,1
Z33H,3,3,2,3,3,4,3,1
A99X,3,3,2,3,3,4,3,1
T39N,3,3,2,3,3,4,3,1
O10W,3,3,2,3,3,4,3,1
N31Z,3,3,2,3,3,4,3,1
A41X,3,3,2,3,3,4,3,1
